run_id,target,k,fault_ddr4_addr,fault_byte_offset,fault_bit,fault_region,timeout,crash,output_anomaly,top1_match,top5_match,baseline_top1,faulty_top1,baseline_prob,faulty_prob,prob_drop,recovered
0,BUFFERS,10,0xaaab238586cc,876,6,BUFFERS,0,0,0,0,0,109,121,0.982662,0.828475,0.154187,0
1,BUFFERS,10,0xaaab238586fe,926,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766096,0.216566,0
2,BUFFERS,10,0xaaab23858660,768,4,BUFFERS,0,0,0,0,0,109,545,0.982662,0.999987,-0.017326,0
3,BUFFERS,10,0xaaab238585c8,616,4,BUFFERS,0,0,0,0,0,109,744,0.982662,0.999994,-0.017332,0
4,BUFFERS,10,0xaaab238586d2,882,7,BUFFERS,0,0,0,0,0,109,882,0.982662,0.999978,-0.017316,0
5,BUFFERS,10,0xaaab238586f3,915,4,BUFFERS,0,0,0,0,0,109,92,0.982662,0.999992,-0.017330,0
6,BUFFERS,10,0xaaab2385837f,31,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.592359,0.390303,0
7,BUFFERS,10,0xaaab23858525,453,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.980262,0.002400,0
8,BUFFERS,10,0xaaab238584e9,393,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982497,0.000165,0
9,BUFFERS,10,0xaaab238586a8,840,0,BUFFERS,0,0,0,0,0,109,656,0.982662,0.999997,-0.017335,0
10,BUFFERS,10,0xaaab238584bc,348,4,BUFFERS,0,0,0,0,0,109,336,0.982662,0.999998,-0.017336,0
11,BUFFERS,10,0xaaab238585d3,627,6,BUFFERS,0,0,0,0,0,109,454,0.982662,0.679175,0.303487,0
12,BUFFERS,10,0xaaab23858481,289,3,BUFFERS,0,0,0,0,0,109,919,0.982662,1.000000,-0.017338,0
13,BUFFERS,10,0xaaab2385854d,493,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
14,BUFFERS,10,0xaaab23858692,818,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982085,0.000577,0
15,BUFFERS,10,0xaaab23858526,454,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.589647,0.393015,0
16,BUFFERS,10,0xaaab238583a7,71,5,BUFFERS,0,0,0,0,0,109,696,0.982662,0.999997,-0.017335,0
17,BUFFERS,10,0xaaab238583c6,102,0,BUFFERS,0,0,0,0,0,109,935,0.982662,0.622457,0.360205,0
18,BUFFERS,10,0xaaab238586c2,866,5,BUFFERS,0,0,0,0,0,109,677,0.982662,0.762081,0.220581,0
19,BUFFERS,10,0xaaab2385851a,442,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
20,BUFFERS,10,0xaaab23858412,178,4,BUFFERS,0,0,0,0,0,109,33,0.982662,0.630703,0.351959,0
21,BUFFERS,10,0xaaab2385846f,271,1,BUFFERS,0,0,0,0,0,109,384,0.982662,0.777299,0.205363,0
22,BUFFERS,10,0xaaab2385866a,778,0,BUFFERS,0,0,0,0,0,109,186,0.982662,0.999983,-0.017321,0
23,BUFFERS,10,0xaaab23858675,789,1,BUFFERS,0,0,0,0,0,109,877,0.982662,0.999997,-0.017335,0
24,BUFFERS,10,0xaaab23858614,692,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766096,0.216566,0
25,BUFFERS,10,0xaaab238584de,382,2,BUFFERS,0,0,0,0,0,109,742,0.982662,0.999996,-0.017334,0
26,BUFFERS,10,0xaaab238585f1,657,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
27,BUFFERS,10,0xaaab23858516,438,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.839452,0.143210,0
28,BUFFERS,10,0xaaab23858373,19,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
29,BUFFERS,10,0xaaab23858426,198,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.615650,0.367012,0
30,BUFFERS,10,0xaaab23858563,515,4,BUFFERS,0,0,0,0,0,109,915,0.982662,0.999997,-0.017335,0
31,BUFFERS,10,0xaaab2385839a,58,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982504,0.000158,0
32,BUFFERS,10,0xaaab238585f9,665,3,BUFFERS,0,0,0,0,0,109,595,0.982662,0.999999,-0.017337,0
33,BUFFERS,10,0xaaab2385864c,748,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
34,BUFFERS,10,0xaaab2385853d,477,1,BUFFERS,0,0,0,0,0,109,923,0.982662,0.999997,-0.017335,0
35,BUFFERS,10,0xaaab23858505,421,4,BUFFERS,0,0,0,0,0,109,817,0.982662,0.999964,-0.017302,0
36,BUFFERS,10,0xaaab23858534,468,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982718,-0.000056,0
37,BUFFERS,10,0xaaab238583b0,80,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982664,-0.000002,0
38,BUFFERS,10,0xaaab23858585,549,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.987971,-0.005309,0
39,BUFFERS,10,0xaaab238586b7,855,2,BUFFERS,0,0,0,0,0,109,827,0.982662,0.999997,-0.017336,0
40,BUFFERS,10,0xaaab23858657,759,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.981923,0.000739,0
41,BUFFERS,10,0xaaab23858572,530,5,BUFFERS,0,0,0,0,0,109,755,0.982662,0.999996,-0.017334,0
42,BUFFERS,10,0xaaab2385853d,477,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982655,0.000007,0
43,BUFFERS,10,0xaaab238585c9,617,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.979654,0.003008,0
44,BUFFERS,10,0xaaab23858590,560,7,BUFFERS,0,0,0,0,0,109,139,0.982662,0.999998,-0.017336,0
45,BUFFERS,10,0xaaab2385841a,186,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982578,0.000084,0
46,BUFFERS,10,0xaaab23858476,278,2,BUFFERS,0,0,0,0,0,109,900,0.982662,0.999998,-0.017336,0
47,BUFFERS,10,0xaaab2385842a,202,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982606,0.000056,0
48,BUFFERS,10,0xaaab2385851b,443,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.993551,-0.010889,0
49,BUFFERS,10,0xaaab23858431,209,4,BUFFERS,0,0,0,0,0,109,442,0.982662,0.999954,-0.017292,0
50,BUFFERS,10,0xaaab2385843b,219,2,BUFFERS,0,0,0,0,0,109,41,0.982662,0.999993,-0.017331,0
51,BUFFERS,10,0xaaab23858597,567,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766712,0.215950,0
52,BUFFERS,10,0xaaab23858401,161,0,BUFFERS,0,0,0,0,0,109,926,0.982662,0.999999,-0.017337,0
53,BUFFERS,10,0xaaab2385871f,959,7,BUFFERS,0,0,0,0,0,109,534,0.982662,0.999991,-0.017329,0
54,BUFFERS,10,0xaaab2385840d,173,2,BUFFERS,0,0,0,0,0,109,127,0.982662,0.999996,-0.017334,0
55,BUFFERS,10,0xaaab238585e1,641,4,BUFFERS,0,0,0,0,0,109,665,0.982662,0.999998,-0.017336,0
56,BUFFERS,10,0xaaab23858592,562,7,BUFFERS,0,0,0,0,0,109,299,0.982662,0.999997,-0.017335,0
57,BUFFERS,10,0xaaab238586a6,838,4,BUFFERS,0,0,0,0,0,109,437,0.982662,0.999991,-0.017329,0
58,BUFFERS,10,0xaaab23858577,535,2,BUFFERS,0,0,0,0,0,109,170,0.982662,0.999992,-0.017330,0
59,BUFFERS,10,0xaaab238584ae,334,3,BUFFERS,0,0,0,0,0,109,42,0.982662,0.999995,-0.017333,0
60,BUFFERS,10,0xaaab2385855a,506,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.766248,0.216414,0
61,BUFFERS,10,0xaaab23858689,809,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982510,0.000152,0
62,BUFFERS,10,0xaaab23858564,516,7,BUFFERS,0,0,0,0,0,109,516,0.982662,0.568546,0.414116,0
63,BUFFERS,10,0xaaab23858420,192,2,BUFFERS,0,0,0,0,0,109,115,0.982662,0.997481,-0.014819,0
64,BUFFERS,10,0xaaab23858536,470,1,BUFFERS,0,0,0,0,0,109,574,0.982662,0.727606,0.255056,0
65,BUFFERS,10,0xaaab23858473,275,2,BUFFERS,0,0,0,0,0,109,631,0.982662,0.999997,-0.017335,0
66,BUFFERS,10,0xaaab238583d6,118,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.556019,0.426643,0
67,BUFFERS,10,0xaaab23858667,775,6,BUFFERS,0,0,0,0,0,109,131,0.982662,0.679176,0.303486,0
68,BUFFERS,10,0xaaab2385853a,474,0,BUFFERS,0,0,0,0,0,109,84,0.982662,0.557818,0.424844,0
69,BUFFERS,10,0xaaab23858430,208,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982560,0.000102,0
70,BUFFERS,10,0xaaab23858566,518,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982661,0.000001,0
71,BUFFERS,10,0xaaab2385862f,719,0,BUFFERS,0,0,0,0,0,109,426,0.982662,0.589796,0.392866,0
72,BUFFERS,10,0xaaab238585c2,610,0,BUFFERS,0,0,0,0,0,109,349,0.982662,0.999995,-0.017333,0
73,BUFFERS,10,0xaaab238586db,891,4,BUFFERS,0,0,0,0,0,109,950,0.982662,0.903296,0.079366,0
74,BUFFERS,10,0xaaab238583cc,108,7,BUFFERS,0,0,0,0,0,109,476,0.982662,0.999986,-0.017324,0
75,BUFFERS,10,0xaaab238586cf,879,7,BUFFERS,0,0,0,1,1,109,109,0.982662,0.867317,0.115345,0
76,BUFFERS,10,0xaaab238585e2,642,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.839188,0.143474,0
77,BUFFERS,10,0xaaab23858565,517,0,BUFFERS,0,0,0,0,0,109,484,0.982662,0.999999,-0.017337,0
78,BUFFERS,10,0xaaab238585cc,620,4,BUFFERS,0,0,0,0,0,109,710,0.982662,0.514209,0.468453,0
79,BUFFERS,10,0xaaab23858507,423,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
80,BUFFERS,10,0xaaab238584ae,334,5,BUFFERS,0,0,0,0,0,109,615,0.982662,0.999993,-0.017331,0
81,BUFFERS,10,0xaaab238583f0,144,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982659,0.000003,0
82,BUFFERS,10,0xaaab23858681,801,1,BUFFERS,0,0,0,0,0,109,586,0.982662,0.999991,-0.017329,0
83,BUFFERS,10,0xaaab238584ab,331,1,BUFFERS,0,0,0,0,0,109,731,0.982662,0.731058,0.251604,0
84,BUFFERS,10,0xaaab238584a8,328,4,BUFFERS,0,0,0,0,0,109,418,0.982662,0.679178,0.303484,0
85,BUFFERS,10,0xaaab2385846d,269,3,BUFFERS,0,0,0,0,0,109,452,0.982662,0.618340,0.364322,0
86,BUFFERS,10,0xaaab238583e3,131,0,BUFFERS,0,0,0,0,0,109,346,0.982662,0.999994,-0.017332,0
87,BUFFERS,10,0xaaab2385842f,207,3,BUFFERS,0,0,0,0,0,109,735,0.982662,0.675284,0.307378,0
88,BUFFERS,10,0xaaab2385861a,698,0,BUFFERS,0,0,0,0,0,109,379,0.982662,0.999992,-0.017330,0
89,BUFFERS,10,0xaaab23858674,788,0,BUFFERS,0,0,0,0,0,109,633,0.982662,0.817573,0.165089,0
90,BUFFERS,10,0xaaab23858593,563,0,BUFFERS,0,0,0,0,0,109,606,0.982662,0.999556,-0.016894,0
91,BUFFERS,10,0xaaab238586fd,925,7,BUFFERS,0,0,0,0,0,109,925,0.982662,0.999998,-0.017336,0
92,BUFFERS,10,0xaaab238585c4,612,4,BUFFERS,0,0,0,0,0,109,848,0.982662,0.999998,-0.017336,0
93,BUFFERS,10,0xaaab23858587,551,5,BUFFERS,0,0,0,0,0,109,794,0.982662,0.999999,-0.017337,0
94,BUFFERS,10,0xaaab238585df,639,6,BUFFERS,0,0,0,0,0,109,56,0.982662,0.999986,-0.017324,0
95,BUFFERS,10,0xaaab238583d9,121,0,BUFFERS,0,0,0,0,0,109,841,0.982662,0.999997,-0.017335,0
96,BUFFERS,10,0xaaab23858629,713,7,BUFFERS,0,0,0,0,0,109,713,0.982662,0.999995,-0.017333,0
97,BUFFERS,10,0xaaab23858424,196,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.753717,0.228945,0
98,BUFFERS,10,0xaaab238586c7,871,3,BUFFERS,0,0,0,0,0,109,767,0.982662,0.999999,-0.017337,0
99,BUFFERS,10,0xaaab238585fb,667,7,BUFFERS,0,0,0,0,0,109,667,0.982662,0.999987,-0.017325,0
100,BUFFERS,10,0xaaab238586ec,908,1,BUFFERS,0,0,0,0,0,109,815,0.982662,0.618322,0.364340,0
101,BUFFERS,10,0xaaab23858541,481,7,BUFFERS,0,0,0,0,0,109,778,0.982662,0.851951,0.130711,0
102,BUFFERS,10,0xaaab23858709,937,6,BUFFERS,0,0,0,0,0,109,937,0.982662,0.727606,0.255056,0
103,BUFFERS,10,0xaaab238584bc,348,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
104,BUFFERS,10,0xaaab23858737,983,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.844842,0.137820,0
105,BUFFERS,10,0xaaab238585bc,604,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982623,0.000039,0
106,BUFFERS,10,0xaaab238586da,890,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.615697,0.366965,0
107,BUFFERS,10,0xaaab23858734,980,0,BUFFERS,0,0,0,0,0,109,601,0.982662,0.999976,-0.017314,0
108,BUFFERS,10,0xaaab238586d5,885,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982591,0.000071,0
109,BUFFERS,10,0xaaab238586a1,833,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982409,0.000253,0
110,BUFFERS,10,0xaaab23858707,935,0,BUFFERS,0,0,0,0,0,109,350,0.982662,0.622458,0.360204,0
111,BUFFERS,10,0xaaab23858649,745,7,BUFFERS,0,0,0,0,0,109,745,0.982662,0.999993,-0.017331,0
112,BUFFERS,10,0xaaab2385866c,780,6,BUFFERS,0,0,0,0,0,109,152,0.982662,0.999987,-0.017325,0
113,BUFFERS,10,0xaaab2385865a,762,1,BUFFERS,0,0,0,0,0,109,483,0.982662,0.817573,0.165089,0
114,BUFFERS,10,0xaaab23858406,166,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982652,0.000010,0
115,BUFFERS,10,0xaaab238583e0,128,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982615,0.000047,0
116,BUFFERS,10,0xaaab23858471,273,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.977550,0.005112,0
117,BUFFERS,10,0xaaab238586a1,833,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.671130,0.311532,0
118,BUFFERS,10,0xaaab23858711,945,2,BUFFERS,0,0,0,0,0,109,850,0.982662,0.675359,0.307303,0
119,BUFFERS,10,0xaaab2385863c,732,0,BUFFERS,0,0,0,0,0,109,406,0.982662,0.679178,0.303484,0
120,BUFFERS,10,0xaaab2385846c,268,7,BUFFERS,0,0,0,0,0,109,597,0.982662,0.622458,0.360204,0
121,BUFFERS,10,0xaaab238585dd,637,2,BUFFERS,0,0,0,0,0,109,875,0.982662,0.999990,-0.017328,0
122,BUFFERS,10,0xaaab23858731,977,5,BUFFERS,0,0,0,0,0,109,736,0.982662,0.622458,0.360204,0
123,BUFFERS,10,0xaaab238583d0,112,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982627,0.000035,0
124,BUFFERS,10,0xaaab238585e7,647,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982661,0.000000,0
125,BUFFERS,10,0xaaab23858707,935,6,BUFFERS,0,0,0,0,0,109,937,0.982662,0.727428,0.255233,0
126,BUFFERS,10,0xaaab23858377,23,6,BUFFERS,0,0,0,0,0,109,742,0.982662,0.999991,-0.017329,0
127,BUFFERS,10,0xaaab23858691,817,2,BUFFERS,0,0,0,0,0,109,520,0.982662,0.999975,-0.017313,0
128,BUFFERS,10,0xaaab238585b6,598,5,BUFFERS,0,0,0,0,0,109,517,0.982662,0.999995,-0.017333,0
129,BUFFERS,10,0xaaab23858630,720,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
130,BUFFERS,10,0xaaab2385871c,956,2,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982658,0.000004,0
131,BUFFERS,10,0xaaab2385848e,302,6,BUFFERS,0,0,0,0,0,109,269,0.982662,0.622391,0.360271,0
132,BUFFERS,10,0xaaab238584f1,401,1,BUFFERS,0,0,0,0,0,109,678,0.982662,0.999998,-0.017336,0
133,BUFFERS,10,0xaaab2385862a,714,0,BUFFERS,0,0,0,0,0,109,279,0.982662,0.999997,-0.017335,0
134,BUFFERS,10,0xaaab238584bc,348,5,BUFFERS,0,0,0,0,0,109,72,0.982662,0.622458,0.360204,0
135,BUFFERS,10,0xaaab2385851f,447,2,BUFFERS,0,0,0,0,0,109,232,0.982662,0.999999,-0.017337,0
136,BUFFERS,10,0xaaab2385855b,507,1,BUFFERS,0,0,0,0,0,109,53,0.982662,0.999999,-0.017337,0
137,BUFFERS,10,0xaaab23858486,294,7,BUFFERS,0,0,0,1,1,109,109,0.982662,0.753374,0.229288,0
138,BUFFERS,10,0xaaab23858610,688,5,BUFFERS,0,0,0,0,0,109,862,0.982662,0.999962,-0.017300,0
139,BUFFERS,10,0xaaab238586b8,856,5,BUFFERS,0,0,0,0,0,109,889,0.982662,0.622455,0.360207,0
140,BUFFERS,10,0xaaab2385867a,794,1,BUFFERS,0,0,0,0,0,109,825,0.982662,0.675356,0.307306,0
141,BUFFERS,10,0xaaab2385842c,204,6,BUFFERS,0,0,0,0,0,109,548,0.982662,0.777296,0.205366,0
142,BUFFERS,10,0xaaab238586a7,839,3,BUFFERS,0,0,0,0,0,109,795,0.982662,0.999928,-0.017266,0
143,BUFFERS,10,0xaaab238585c8,616,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982620,0.000042,0
144,BUFFERS,10,0xaaab23858477,279,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.556655,0.426007,0
145,BUFFERS,10,0xaaab238584e3,387,6,BUFFERS,0,0,0,0,0,109,650,0.982662,0.575851,0.406811,0
146,BUFFERS,10,0xaaab238586c7,871,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.839337,0.143325,0
147,BUFFERS,10,0xaaab238586d7,887,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.839333,0.143329,0
148,BUFFERS,10,0xaaab238585df,639,0,BUFFERS,0,0,0,0,0,109,477,0.982662,0.999930,-0.017268,0
149,BUFFERS,10,0xaaab238586e5,901,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.557200,0.425462,0
150,BUFFERS,10,0xaaab23858424,196,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982661,0.000001,0
151,BUFFERS,10,0xaaab23858378,24,0,BUFFERS,0,0,0,0,0,109,72,0.982662,0.999997,-0.017335,0
152,BUFFERS,10,0xaaab23858688,808,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982466,0.000196,0
153,BUFFERS,10,0xaaab238586ac,844,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
154,BUFFERS,10,0xaaab238585d8,632,2,BUFFERS,0,0,0,0,0,109,173,0.982662,0.999997,-0.017335,0
155,BUFFERS,10,0xaaab2385849f,319,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
156,BUFFERS,10,0xaaab238586cf,879,1,BUFFERS,0,0,0,0,0,109,422,0.982662,0.999994,-0.017332,0
157,BUFFERS,10,0xaaab23858416,182,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,-0.000000,0
158,BUFFERS,10,0xaaab23858421,193,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.720745,0.261917,0
159,BUFFERS,10,0xaaab238583a3,67,7,BUFFERS,0,0,0,0,0,109,67,0.982662,0.528251,0.454411,0
160,BUFFERS,10,0xaaab23858412,178,0,BUFFERS,0,0,0,0,0,109,43,0.982662,0.622458,0.360204,0
161,BUFFERS,10,0xaaab23858404,164,7,BUFFERS,0,0,0,1,1,109,109,0.982662,0.804973,0.177689,0
162,BUFFERS,10,0xaaab23858390,48,4,BUFFERS,0,0,0,0,0,109,431,0.982662,0.999998,-0.017336,0
163,BUFFERS,10,0xaaab23858401,161,4,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982662,0.000000,0
164,BUFFERS,10,0xaaab238584c0,352,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.989760,-0.007098,0
165,BUFFERS,10,0xaaab238583ea,138,7,BUFFERS,0,0,0,0,0,109,159,0.982662,0.999994,-0.017332,0
166,BUFFERS,10,0xaaab2385838d,45,1,BUFFERS,0,0,0,0,0,109,396,0.982662,0.998039,-0.015378,0
167,BUFFERS,10,0xaaab238584b7,343,7,BUFFERS,0,0,0,0,0,109,678,0.982662,0.715868,0.266794,0
168,BUFFERS,10,0xaaab23858462,258,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982293,0.000369,0
169,BUFFERS,10,0xaaab2385852f,463,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982194,0.000468,0
170,BUFFERS,10,0xaaab238585b1,593,3,BUFFERS,0,0,0,0,0,109,177,0.982662,0.999995,-0.017333,0
171,BUFFERS,10,0xaaab2385854f,495,7,BUFFERS,0,0,0,0,0,109,495,0.982662,0.999996,-0.017334,0
172,BUFFERS,10,0xaaab238584b7,343,1,BUFFERS,0,0,0,1,1,109,109,0.982662,0.973972,0.008690,0
173,BUFFERS,10,0xaaab23858630,720,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982408,0.000254,0
174,BUFFERS,10,0xaaab2385855b,507,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982256,0.000406,0
175,BUFFERS,10,0xaaab2385849e,318,5,BUFFERS,0,0,0,0,0,109,377,0.982662,0.495583,0.487079,0
176,BUFFERS,10,0xaaab23858635,725,2,BUFFERS,0,0,0,0,0,109,361,0.982662,0.665235,0.317427,0
177,BUFFERS,10,0xaaab23858362,2,5,BUFFERS,0,0,0,0,0,109,39,0.982662,0.999999,-0.017337,0
178,BUFFERS,10,0xaaab2385839c,60,3,BUFFERS,0,0,0,0,0,109,829,0.982662,0.499997,0.482665,0
179,BUFFERS,10,0xaaab238585e3,643,3,BUFFERS,0,0,0,0,0,109,842,0.982662,0.999998,-0.017336,0
180,BUFFERS,10,0xaaab23858400,160,7,BUFFERS,0,0,0,0,0,109,626,0.982662,0.927475,0.055187,0
181,BUFFERS,10,0xaaab2385841a,186,5,BUFFERS,0,0,0,0,0,109,476,0.982662,0.999987,-0.017325,0
182,BUFFERS,10,0xaaab23858440,224,7,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982661,0.000000,0
183,BUFFERS,10,0xaaab238584db,379,1,BUFFERS,0,0,0,0,0,109,38,0.982662,0.999994,-0.017332,0
184,BUFFERS,10,0xaaab2385863e,734,3,BUFFERS,0,0,0,1,1,109,109,0.982662,0.990935,-0.008273,0
185,BUFFERS,10,0xaaab238585b3,595,6,BUFFERS,0,0,0,1,1,109,109,0.982662,0.982614,0.000048,0
186,BUFFERS,10,0xaaab2385865e,766,1,BUFFERS,0,0,0,0,0,109,72,0.982662,0.999997,-0.017335,0
187,BUFFERS,10,0xaaab23858712,946,0,BUFFERS,0,0,0,1,1,109,109,0.982662,0.721700,0.260962,0
188,BUFFERS,10,0xaaab238583ab,75,0,BUFFERS,0,0,0,0,0,109,790,0.982662,0.999962,-0.017300,0
189,BUFFERS,10,0xaaab23858463,259,2,BUFFERS,0,0,0,0,0,109,75,0.982662,0.618341,0.364321,0
190,BUFFERS,10,0xaaab2385865a,762,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.676652,0.306010,0
191,BUFFERS,10,0xaaab23858719,953,6,BUFFERS,0,0,0,0,0,109,953,0.982662,0.737701,0.244961,0
192,BUFFERS,10,0xaaab238586eb,907,5,BUFFERS,0,0,0,0,0,109,566,0.982662,0.880796,0.101866,0
193,BUFFERS,10,0xaaab2385845a,250,1,BUFFERS,0,0,0,0,0,109,880,0.982662,0.777299,0.205363,0
194,BUFFERS,10,0xaaab23858737,983,5,BUFFERS,0,0,0,0,0,109,628,0.982662,0.999986,-0.017324,0
195,BUFFERS,10,0xaaab2385872d,973,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.990388,-0.007726,0
196,BUFFERS,10,0xaaab23858440,224,5,BUFFERS,0,0,0,1,1,109,109,0.982662,0.838748,0.143914,0
197,BUFFERS,10,0xaaab238583f6,150,0,BUFFERS,0,0,0,0,0,109,962,0.982662,0.622456,0.360206,0
198,BUFFERS,10,0xaaab238585f3,659,6,BUFFERS,0,0,0,0,0,109,891,0.982662,0.999944,-0.017282,0
